time,longitude,latitude,rainfall_rate_mm_hr,rainfall_30min_mm
2026-08-27,79.65,28.55,4.06,2.03
2026-08-27,79.65,28.65,3.8,1.9
2026-08-27,79.65,28.75,2.27,1.135
2026-08-27,79.65,28.849998,0.35,0.175
2026-08-27,79.65,28.949999,0.26,0.13
2026-08-27,79.65,29.05,0.94,0.47
2026-08-27,79.65,29.15,2.4299998,1.2149999
2026-08-27,79.65,29.25,2.11,1.055
2026-08-27,79.65,29.349998,0.84999996,0.42499998
2026-08-27,79.65,29.449999,0.63,0.315
2026-08-27,79.65,29.55,0.53,0.265
2026-08-27,79.65,29.65,0.31,0.155
2026-08-27,79.65,29.75,0.12,0.06
2026-08-27,79.65,29.849998,0.0,0.0
2026-08-27,79.65,29.949999,0.0,0.0
2026-08-27,79.65,30.05,0.0,0.0
2026-08-27,79.65,30.15,0.0,0.0
2026-08-27,79.65,30.25,0.0,0.0
2026-08-27,79.65,30.349998,0.0,0.0
2026-08-27,79.65,30.449999,0.0,0.0
2026-08-27,79.65,30.55,0.0,0.0
2026-08-27,79.65,30.65,0.0,0.0
2026-08-27,79.65,30.75,0.0,0.0
2026-08-27,79.65,30.849998,0.0,0.0
2026-08-27,79.65,30.949999,0.0,0.0
2026-08-27,79.65,31.05,0.0,0.0
2026-08-27,79.65,31.15,0.0,0.0
2026-08-27,79.65,31.25,0.0,0.0
