Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
5126,UEI-IMD-FL-2019-0147,06-02-2019 00:00,06-02-2019 00:00,1.0,Flash floods,,"Almora, Chamoli",Uttarakhand,,,,,1.0,,1,,One shepherd died due to flash floods in local Gangani stream from Lam Bagar areas in Mahelchouri of Chamoli Dist. While one person missing from Khira village in Chaukhatiya block of Almora Dist. Some cattle heads washed away from Almora Dist.,"i) Damage to agricultural land reported. ii) Damage to several houses, cowsheds reported. iii) Damage to main roads,local bridges reported. iv) Large-scale destruction in Gangnahar, Lambagad, Ramgaderi, Bisht Bhankhli,Negi Bankhali villages reported. v) The Mahelchouri-Chaukhatiya highway blocked due to the debris.",IMD,,"45, 47",5
5127,UEI-IMD-FL-2019-0148,21-06-2019 00:00,21-06-2019 00:00,1.0,Heavy rains & flash flood as a result of cloud burst,,Uttar Kashi Kashi,Uttarakhand,,,,,1.0,4.0,,,One person died & 4 others injured in Mori market area,i) Damage to houses & shops reported. ii) Several trees uprooted causing blocking of main road for a couple of hours.,IMD,,,5
5128,UEI-IMD-FL-2019-0149,23-06-2019 00:00,23-06-2019 00:00,1.0,Floods in Binnu river,,Garhwal,Uttarakhand,,,,,,,,,"Some cattle heads washed away in Mansari,Kanadi villages in Chauthan Patti area of Thailisain block.","Damage to houses in Mansari,Kanadi villages in Chauthan Patti area of Thailisain block reported.",IMD,,52,5
5129,UEI-IMD-FL-2019-0150,07-04-2019 00:00,07-04-2019 00:00,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,,,,,,Damage to water pipeline & 40-meter road reported in Sari Chamshil village of Augustmuni block.,IMD,,54,5
5130,UEI-IMD-FL-2019-0151,08-06-2019 00:00,08-06-2019 00:00,1.0,Heavy rains & flash flood as a result of cloud burst,,"Chamoli, Garhwal, Uttar Kashi Kashi",Uttarakhand,,,,,,,,,,"i) Damage to 11 bridges reported. ii) Damage to a school building from Pathar Katta village of Gairsain area reported. iii) Severe damage to properties in Chad a local nullah reported. iv) Damage to 4 cowsheds reported. v) Thousands of visitors stranded as Rishikesh-Badrinath highway at Lambagad was blocked. In addition, several other motor roads in Chamoli, Uttarkashi,Pauri districts affected.",IMD,,"47, 52, None",5
5131,UEI-IMD-FL-2019-0152,08-08-2019 00:00,08-09-2019 00:00,2.0,"Heavy rains, flash flood as a result of cloud burst",,"Chamoli, Garhwal, Rudra Prayag, Tehri Garhwal",Uttarakhand,,,,,5.0,5.0,,40,"Total 5 persons died. Chamoli �������� 2 including a woman & kid, Garhwal - One youth washed away in Alaknanda river, Tehri �������� 2. While, 5 persons severely injured in Tharthi village Tehri district. More than 40 livestock perished in Chamoli Dist.","i) Damage to agricultural land reported. ii) Damage to more than 230 houses, 50 shops, Twenty Four cowsheds reported. iii) Damage to 10 water mills, water supply lines reported. iv) Damage to more than two dozen local footbridges,about 60 connecting roads reported.",IMD,,"47, 52, 54, 55",5
5132,UEI-IMD-FL-2019-0153,08-12-2019 00:00,08-12-2019 00:00,1.0,"Heavy rains, flash floods & Landslide",,"Bageshwar, Chamoli",Uttarakhand,,,,,6.0,,,,6 persons died in Ghat block of Chamoli district.,"i) Damage to farmlands reported. ii) Damage to drinking water pipelines reported. iii) Damage to Several houses, cowsheds, shops reported. iv) Landslide occurred at Aali, Lankhi & Banjba Gad villages from Chamoli Dist. reported. v) Parts of Katyur valley of Bageshwar Dist. affected.",IMD,,"46, 47",5
5133,UEI-IMD-FL-2019-0154,18-08-2019 00:00,18-08-2019 00:00,1.0,"Heavy rains & flash floods (in Tons, Pabbar River) & Landslide",,"Dehradun, Garhwal, Tehri Garhwal, Uttar Kashi Kashi",Uttarakhand,,,,,19.0,,,60,"Total 19 persons died. Dehradun �������� one 42 year old woman swept away in Maldevta area, Tehri Garhwal �������� one woman died due to tree uprooted, Uttarakashi - 17 persons died, several others missing & many people were injured, about 60 livestock perished from Mori Block.","i) Extensive damage to agricultural lands reported. ii) Extensive damage to bridges, a primary school reported. iii) Damage to Several houses, cowsheds, shops reported. iv) Several vehicles washed away. v) A helipad submerged in floodwater,national highways were blocked. vi) Damage to around half a dozen villages viz. Makudi, Arakot, Sanel, Tikochi, Khakwadi, Chinwa, Gokul from Uttarkashi Dist. (which is the worst affected district) due to landslide reported. vii) The Mason village in Chauthan Patti area of Thailisain block in Garhwal, Dist. also affected. viii) Several trees uprooted.",IMD,,"49, 52, 55, None",5
5134,UEI-IMD-FL-2019-0155,09-02-2019 00:00,09-02-2019 00:00,1.0,Cloud Burst,,Almora,Uttarakhand,,,,,,,,,Few persons injured due to house collapsed.,Damage to house reported in Jajar village in Dhauladevi Block.,IMD,,45,5
5135,UEI-IMD-FL-2019-0156,09-06-2019 00:00,09-08-2019 00:00,3.0,Heavy rains & flash flood as a result of cloud burst,,"Chamoli, Pithoragarh",Uttarakhand,,,,,1.0,3.0,,6,One person died & 3 others injured & about half a dozen livestock perished from Timtia village of Nachni area in Munsyari tehsil of Pithoragarh Dist. on 7th early morning. Several persons injured from Gundam village of Tharali Tehsil in Chamoli district.,"i) Damage to several acres of farmland reported. ii) Damage to a portion of inter college reported. iii) Damage to several houses, cowsheds reported. iv) Damage to several roads including 60-meter stretch of Thal-Munsyari highway, 30 meters stretch of Badrinath highway reported due to which thousands of pilgrims stranded at different locations. v) More than 40 vehicles washed away. vi) 2 water mills were washed away. vii) The electricity,communication services disrupted.",IMD,,"47, 53",5
