station_id,station_name,station_type,latitude,longitude,observation_time,acquisition_time,temperature_c,temperature_min_c,temperature_max_c,relative_humidity_pct,wind_speed_kmh,wind_speed_ms,wind_direction_deg,pressure_hpa,dewpoint_c,rainfall_mm,rainfall_accum_period,data_source,status
42148,PANTNAGAR_AMFU,AWS,29.02,79.48,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,,,32.7,,11.11,3.09,295.0,1015.0,0.0,6.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
468136A0,PARPUNDA KHAL,AWS,30.1137,78.6807,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,14.3,17.1,18.7,19.0,12.04,3.34,58.0,853.5,13.4,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4683E53C,PATI,AWS,29.4043,79.9374,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,12.9,21.5,22.5,25.0,11.67,3.24,91.0,,21.9,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46812B04,PAURI,AWS,30.1529,78.7694,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,15.0,20.5,21.2,16.0,15.19,4.22,48.0,,4.9,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
UTPIG000,PITHORAGARH_KVK,AWS,29.5616,80.2186,2026-03-13T04:08:16+00:00,2026-09-01T07:07:58.815949+00:00,12.6,12.8,24.8,18.0,11.3,3.14,16.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468261D2,POKHARI,AWS,30.344,79.2092,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,12.0,20.7,21.2,12.0,14.82,4.12,45.0,,3.7,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
UPPPI000,PRITHVIPUR,AWS,29.3175,78.1158,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,29.1,26.3,34.7,53.0,7.41,2.06,203.0,1004.0,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
4952C57C,PUROLA,AWS,30.86,78.0,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,24.4,22.5,33.6,11.0,10.19,2.83,,987.6,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
42148,Pantnagar,SYNOP,29.03,79.47,2026-09-01T06:24:03+00:00,2026-09-01T07:07:58.815949+00:00,25.8,,,100.0,12.96,3.6,90.0,1006.0,25.8,0.01,24h,IMD GeoServer (imd:synop_data_layer),LIVE
4680ECE0,RAIWALA,AWS,30.0138,78.191,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,21.7,29.0,29.2,19.0,14.45,4.01,49.0,1006.3,14.2,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46801C64,RAJGARHI,AWS,30.8398,78.2408,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,8.1,17.7,18.1,37.0,9.63,2.68,42.0,,17.9,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468393AC,RAMNAGAR,AWS,29.3959,79.1355,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,20.1,31.6,33.0,16.0,11.11,3.09,44.0,1007.6,5.7,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55E93B84,RANIKHET,AWS,29.64,79.42,2026-05-31T18:44:04+00:00,2026-09-01T07:07:58.815949+00:00,,,,,11.67,3.24,,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
B489DEE0,RANI_CHAWRI,AWS,30.2,78.5167,2026-09-01T03:29:05+00:00,2026-09-01T07:07:58.815949+00:00,,37.1,41.4,99.0,7.41,2.06,248.0,1049.7,0.0,28.5,recent_observation,IMD GeoServer (imd:aws_data_layer),RECENT
4681852E,RIKHNIKHAL,AWS,29.7723,78.8736,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,16.5,24.1,25.2,13.0,12.22,3.4,30.0,,10.5,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55ED9094,RISHIKESH,AWS,30.11,78.28,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,,37.0,41.0,99.0,12.59,3.5,,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
4680D97A,RISHIKESH (NEELKANTH),AWS,30.0813,78.3409,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,19.9,24.4,25.7,18.0,12.22,3.4,52.0,951.9,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
100223,ROORKEE_AMFU,AWS,29.84,77.92,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,33.4,25.4,38.9,89.0,3.7,1.03,170.0,1003.6,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
4682C12A,RUDRAPRAYAG,AWS,30.2858,78.9846,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,12.3,28.7,29.7,17.0,8.52,2.37,51.0,,7.2,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46858EC6,RUDRAPUR(UKG),AWS,28.9771,79.3929,2026-03-13T04:08:21+00:00,2026-09-01T07:07:58.815949+00:00,15.8,30.2,31.0,32.0,3.52,0.98,52.0,1011.8,19.8,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
90015,RUDRA_PRAYAG,AWS,30.3167,78.9667,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,25.4,24.6,31.9,96.0,1.85,0.51,292.0,1014.2,0.0,0.5,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
4680AFEA,SAHASPUR,AWS,30.3937,77.8129,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,19.6,20.2,20.4,27.0,13.7,3.81,35.0,972.1,17.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55D64DF6,SANGLA,AWS,31.43,78.25,2026-09-01T06:44:04+00:00,2026-09-01T07:07:58.815949+00:00,,,12.1,,13.15,3.65,,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
46800F12,SANKRI,AWS,31.1507,78.4354,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,-10.6,18.0,20.5,68.0,13.33,3.7,53.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46813872,SATPULI,AWS,29.9184,78.7101,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,15.3,23.7,24.6,16.0,12.22,3.4,46.0,1017.4,16.4,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46835860,SHAMA,AWS,29.9747,80.0478,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,11.4,17.1,17.7,16.0,7.04,1.95,50.0,,7.9,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468315B8,SITLAKHET,AWS,29.594,79.5442,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,12.6,0.0,0.0,22.0,8.89,2.47,48.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46829F84,SONEPRAYAG,AWS,30.6358,78.9996,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,3.3,,,26.0,15.74,4.37,17.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46836328,SONG,AWS,30.039,79.9519,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,8.7,15.1,15.8,18.0,11.67,3.24,8.0,,15.4,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46814030,SRINAGAR,AWS,30.2237,78.7885,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,13.0,32.7,33.5,19.0,10.74,2.98,64.0,1010.7,20.5,1.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55D00E32,SRINAGAR_ARG,AWS,30.22,78.77,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,27.4,26.3,36.6,,9.82,2.73,,,0.0,4.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
46831B6A,SULT,AWS,29.6893,79.1583,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,17.1,22.7,23.2,12.0,13.15,3.65,34.0,,12.7,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46818BFC,SYUNSI,AWS,29.8928,79.0258,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,11.3,19.5,20.2,16.0,11.67,3.24,19.0,1075.6,17.7,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4682F4B0,TAKULA,AWS,29.7336,79.7023,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,10.5,20.5,21.7,24.0,3.7,1.03,39.0,,11.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4683C3D0,TANAKPUR,AWS,29.0733,80.1118,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,19.7,30.6,31.2,17.0,11.3,3.14,13.0,997.9,19.3,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468222D8,TAPOVAN,AWS,30.4928,79.6315,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,-0.7,20.2,20.7,19.0,15.19,4.22,69.0,,2.4,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468175AA,THAILISAIN,AWS,30.0207,79.048,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,9.2,14.6,14.8,19.0,10.74,2.98,25.0,,14.6,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46827C76,THARALI,AWS,30.1504,79.4087,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,9.0,20.7,21.6,13.0,11.48,3.19,30.0,1080.2,21.3,0.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
UTWAI000,TH_KOSIYAKUTOLI,AWS,29.49,79.47,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,25.4,29.1,38.8,100.0,1.85,0.51,90.0,961.3,0.0,42.5,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
42114,Tehri,SYNOP,30.4,78.48,2026-09-01T06:24:03+00:00,2026-09-01T07:07:58.815949+00:00,19.2,,,98.0,3.7,1.03,270.0,,18.9,0.0,24h,IMD GeoServer (imd:synop_data_layer),LIVE
UPUCE000,UCHETI,AWS,28.8683,78.6659,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,26.9,26.1,31.7,100.0,5.56,1.54,230.0,1005.7,0.0,2.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
46859362,UCOST,AWS,30.3371,77.9201,2026-03-13T04:08:21+00:00,2026-09-01T07:07:58.815949+00:00,19.4,32.2,32.7,27.0,12.59,3.5,39.0,985.1,17.3,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46828220,UKHIMATH,AWS,30.5182,79.0999,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,9.2,15.6,16.0,17.0,11.85,3.29,22.0,,11.2,5.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468166DC,YAMKESHWAR,AWS,29.9775,78.4187,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,20.8,25.2,26.2,15.0,11.85,3.29,45.0,,19.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
